resWLsymbol1,resWLsymbol2
"♀",#Symbol
"♀♀",#Symbol
"♂",#Symbol
"⚪",#Symbol
"✋",#Symbol
"✌",#Symbol
"❌",#Symbol
"❓",#Symbol
"⼃⼂乛⼁",#Symbol
"、",#Symbol
"、*",#Symbol
"、人与人",人与人
"、复杂",复杂
"、手饰",手饰
"、控制",控制
"、水稻",水稻
"、汽车手机",#Symbol
"、留念",留念
"、疯狂的",疯狂的
"、粘",粘
"。",#Symbol
"。。",#Symbol
"。。。",#Symbol
"。。。。",#Symbol
"。。。啪啪啪",啪啪啪
"。。。我妈？",我妈
"。愉悦",愉悦
"。移动",移动
"。，",#Symbol
"《一件小事》",一件小事
"《一生所爱》",一生所爱
"《七个房间》",七个房间
"《丰乳肥臀》",丰乳肥臀
"《乒乓》",乒乓
"《乒乓》独特的画风",#Symbol
"《低俗小说》",低俗小说
"《你的名字》",你的名字
"《刑法》",刑法
"《北京北京》",北京北京
"《十面埋伏》",十面埋伏
"《呐喊》",呐喊
"《咏鹅》",咏鹅
"《四重奏》",四重奏
"《回家》",回家
"《悯农》",悯农
"《摇曳露营》",摇曳露营
"《春秋》",春秋
"《月光》",月光
"《沙海》",沙海
"《活着》",活着
"《砒霜行动》",砒霜行动
"《第五元素》",第五元素
"《素媛》",素媛
"《罪与罚》",罪与罚
"《背景》海报",#Symbol
"《苏珊娜》",苏珊娜
"《菊与刀》",菊与刀
"《遇蛇》",遇蛇
"《银河铁道》",银河铁道
"《青花瓷》",青花瓷
"「人」",人
"お̤̮国̤̮",#Symbol
"㎝",#Symbol
"一下。。",一下
"一个 孩子",一个孩子
"一个动画？",一个动画
"一二 三",一二三
"一只????",一只
"一只甲虫。",一只甲虫
"一层一层一层的，可能有点辣",#Symbol
"一年一次。",一年一次
"一沓A4纸",一沓A4纸
"一滴'",一滴
"一种情况。",一种情况
"一美！",一美
"一群人…",一群人
"一脉相承：",一脉相承
"七年之痒。。",七年之痒
"万万岁·",万万岁
"三七粉=分",#Symbol
"三？？",三
"上司？",上司
"上层·",上层
"上床？",上床
"上我？",上我
"上海…",上海
"上海话=",上海话
"下班啦！",下班啦
"不上？",不上
"不会有事吧？",不会有事吧
"不值（抬杠）",不值
"不可啊！",不可啊
"不够优秀'",不够优秀
"不好吧？？？",不好吧
"不好的，",不好的
"不小心？",不小心
"不少于？",不少于
"不应该啊！",不应该啊
"不得了？",不得了
"不想 快",#Symbol
"不懂……",不懂
"不懂？",不懂
"不知道我的实习时候老板是怎么样？",#Symbol
"不要！",不要
"不足1",不足
"不迫= =",不迫
"不错哦，小子",#Symbol
"不错，本号",#Symbol
"不！",不
"不？",不
"专业?、",专业
"专利1",专利
"世界3大教",世界三大教
"世界500强",世界500强
"东8",#Symbol
"东北生吃大蒜，比较流行。",#Symbol
"东南西北'",东南西北
"东方110",#Symbol
"丢出城墙？",丢出城墙
"严肃？",严肃
"严重吗？",严重吗
"中共'",中共
"中国八建，",中国八建
"中国的庙会和别国的不一样。",#Symbol
"中国，",中国
"中央10",中央10
"中央10台",中央10台
"丰盛''",丰盛
"为了某样东西付出的代价 可能是时间",#Symbol
"为了？",为了
"为什么？",为什么
"为啥？",为啥
"主人公/对象来自哪里",#Symbol
"主席……",主席
"举杯邀明月 对影成三人",#Symbol
"举重？？",举重
"乃木坂46",乃木坂46
"乌龟？",乌龟
"乍泄？",乍泄
"乐天（食品）",乐天食品
"乐观♂",乐观
"乖巧.jpg",#Symbol
"也4",#Symbol
"习…咳咳",#Symbol
"书《飘》",飘
"书籍《飘》",飘
"书，人",#Symbol
"买！",买
"乳'",乳
"了 l",#Symbol
"了。。？",了
"了吗？",了吗
"了，好像",#Symbol
"了？",了
"争执'",争执
"事件 ",事件
"二bao q",#Symbol
"二月14",#Symbol
"二营长，你的意大利炮呢",#Symbol
"于…",于
"云南【地理渣",云南
"云梯49",云梯
"互联网+",互联网
"五子棋1",五子棋
"五彩缤纷……",五彩缤纷
"五脏俱全。",五脏俱全
"五金店里面的话，",#Symbol
"亚当·斯密",亚当斯密
"人 ",人
"人 樹",#Symbol
"人们很喜欢夸张的去夸大一些事实，让自己显得看起来更加惨一点。",#Symbol
"人定的。",人定的
"人来人往·",人来人往
"人死了那有什么鬼？",#Symbol
"人活着就是为了坂本真绫.jpg",#Symbol
"人生2",人生
"人生。",人生
"人的生产力…",人的生产力
"人种、",人种
"什么?",什么
"什么不停？",什么不停
"什么味道？",什么味道
"什么果？",什么果
"什么行业？",什么行业
"什么！",什么
"什么？",什么
"什么？！",什么
"今年过上海9级全国10级的书法考级",#Symbol
"从A-B",#Symbol
"从哪？",从哪
"仙剑3",仙剑3
"代购认证？？",代购认证
"以…为例",#Symbol
"价值、",价值
"价值观'",价值观
"企业……",企业
"伊恩·麦凯伦",伊恩麦凯伦
"休·杰克曼",休杰克曼
"优＋",优
"会员纸2",#Symbol
"会飞的穿2",#Symbol
"伤心????",伤心
"伤疤、",伤疤
"低下 ",低下
"体乏''",体乏
"体会啥？",体会啥
"体检（？？？",体检
"体重！",体重
"余额0",#Symbol
"作品集？",作品集
"作弊.",作弊
"你咋这么浪！",你咋这么浪
"你大爷的！",你大爷的
"你好，握个手",#Symbol
"你是坂本吗？",#Symbol
"你说怎么了？",你说怎么了
"你这个…",你这个
"你骂谁？",你骂谁
"你，行了吧",#Symbol
"佳丽3000",佳丽三千
"佳人'",佳人
"侄子，",侄子
"供暖？",供暖
"供水？",供水
"依据'",依据
"侠客 ",侠客
"侦探（《名侦探柯南》）",侦探
"侵华战争…",侵华战争
"侵略！",侵略
"保姆/阿姨",#Symbol
"保尔@柯察金",保尔柯察金
"保尔·柯察金",保尔柯察金
"保留意见，",保留意见
"信息'",信息
"信（日语",信
"俱焚…",俱焚
"倒霉熊 ",倒霉熊
"值得吗？",值得吗
"值钱吗？",值钱吗
"值（数学）",值
"值（称赞）",值
"倾向，",倾向
"倾斜45度",#Symbol
"假的？",假的
"做p p t",#Symbol
"做人准则，第二条",#Symbol
"做家务活。",做家务活
"偷鸡摸狗‘",偷鸡摸狗
"傲娇ai o",傲娇
"傻瓜、",傻瓜
"僵尸。。",僵尸
"充电 ",充电
"先辈（日语）",先辈
"光一''",光一
"光滑 ",光滑
"光线'",光线
"兔兔！",兔兔
"兔子????",兔子
"党的命令？",#Symbol
"兜帽，",兜帽
"全军出击！",全军出击
"八点????",八点
"八点半????",八点半
"公????",公
"公式长×宽",#Symbol
"公益'",公益
"六六六！",六六六
"六弦之首 苍",#Symbol
"兰花草-歌曲",兰花草
"共和 ",共和
"关8",#Symbol
"关于????的长相",#Symbol
"关杰尼8",#Symbol
"兴，百姓苦",#Symbol
"其实他不吃肉……",#Symbol
"具有一定的潮流元素（拍照）",#Symbol
"典型'",典型
"养'畜牲",养畜牲
"内……",内
"内涵？",内涵
"内衣。",内衣
"再见，冥王星",#Symbol
"军人，报效祖国",#Symbol
"军营？",军营
"军队‘",军队
"农作物'",农作物
"农村'",农村
"农民'",农民
"冬子（画家）",冬子
"冬瓜？",冬瓜
"冯德伦。",冯德伦
"冲！",冲
"决策、",决策
"冷漠.jpg",#Symbol
"冷！",冷
"冻死了，",冻死了
"凉菜！",凉菜
"几。警察",#Symbol
"凡人修仙传【",凡人修仙传
"凶手就是你！",凶手就是你
"凶猛·",凶猛
"出轨？",出轨
"击剑？",击剑
"刀'",刀
"刀剑神域’",刀剑神域
"分支器官炎，",分支器官炎
"分离'",分离
"分离？",分离
"分赃，",分赃
"切、分东西",#Symbol
"切！",切
"切（语气词）",切
"切，",切
"划走‘",划走
"刘翔2",刘翔
"刚发的：",刚发的
"创造101",创造101
"创青你3",#Symbol
"初中x f",初中
"判刑''",判刑
"判定2",判定
"制服控。。",制服控
"制服！",制服
"刷锅‘",刷锅
"刺身、",刺身
"削苹果（虽然我讨厌苹果）",削苹果
"前任3",前任
"前段时间回顾了电影，明天打算去看美女与野兽",#Symbol
"办公室'",办公室
"办法 ",办法
"加1秒",#Symbol
"加95",#Symbol
"加入DM48",#Symbol
"加油 ",加油
"加油！",加油
"动。火车",#Symbol
"动作，打",#Symbol
"动漫：植木的法则",#Symbol
"动词、贬义",#Symbol
"动词，吹",#Symbol
"勉强⼃⼁",勉强
"勤学苦练 ",勤学苦练
"勤快.",勤快
"勾丝。。",勾丝
"勾勾搭搭。",勾勾搭搭
"勾引无知者。",#Symbol
"勾手指'",勾手指
"包子 的",#Symbol
"匆忙、",匆忙
"化妆可能会对我们的皮肤有一定的损害。",#Symbol
"北京-青岛",#Symbol
"北冥封宇 海底下最好的丈夫",#Symbol
"北极·",北极
"医用、",医用
"医院...",医院
"医院’",医院
"十 ",十
"十字路口2",十字路口
"十月革命·",十月革命
"千 万",千万
"千翻（淘气）",#Symbol
"单位？",单位
"单细胞生物、",单细胞生物
"单身~",单身
"卖萌？",卖萌
"卖血=-=",卖血
"南京...",南京
"南宁(家乡)",南宁
"南山南？",南山南
"卧槽！",卧槽
"卧槽？",卧槽
"危除2一",#Symbol
"厄运，",厄运
"压岁钱、",压岁钱
"又如何？",又如何
"又来一遍？",又来一遍
"叉子（餐具",叉子
"双11",双十一
"双胞胎，妹妹",双胞胎妹妹
"反着ahio h q",#Symbol
"发4",#Symbol
"发声 ",发声
"发达'",发达
"发，",发
"取乐'",取乐
"变 变变",变变变
"变化'",变化
"变态= =",变态
"口 交",口交
"口我  不口",#Symbol
"口袋48",#Symbol
"古代文学常识，，",#Symbol
"古代有我们很多现在没用的东西。",#Symbol
"古迹'",古迹
"另一个同学的网名。。。",#Symbol
"叫 ",叫
"可以的666",#Symbol
"可好？",可好
"可怜????",可怜
"可怜可利？",可怜可利
"可爱????",可爱
"可爱！",可爱
"可爱！！！",可爱
"可能'",可能
"可能性一定有，只是大小有差",#Symbol
"可能我在实习的时候会收到很多欺负。",#Symbol
"可道，非常道",#Symbol
"可靠、",可靠
"吃啊，",吃啊
"吃啥？",吃啥
"吃喝。",吃喝
"吃奶????",吃奶
"吃惊！！！",吃惊
"吃的，",吃的
"吃饭 ",吃饭
"吃饭用来切煎鳕鱼的叉子（就是普通的叉子）",#Symbol
"各种简历都要填的，每次都填的有点苦恼，总觉得不够又觉得自己超乎常人的就只有这些",#Symbol
"合体？",合体
"合作 ",合作
"合法？",合法
"合适。",合适
"吉尔.格力森",吉尔格力森
"名064米",#Symbol
"名人·",名人
"名牌 大学",名牌大学
"后台小姐姐，赌真的可以随便说吗",#Symbol
"向上…",向上
"向往的话说，",#Symbol
"向我开炮！",向我开炮
"吗…",吗
"吗？",吗
"吞没、",吞没
"吧，兄弟",#Symbol
"吧，小伙子",#Symbol
"吧，快失传了",#Symbol
"吴克！",吴克
"吴牛喘月时 拖船一何苦",#Symbol
"呀呀呀！",呀呀呀
"呀！土豆",呀土豆
"呀，好气呀",#Symbol
"呃。。。僵尸发出来的声音",#Symbol
"告诉？",告诉
"呐尼？",#Symbol
"呔！",呔
"呕....",呕
"呜——",呜
"呜呜呜——",呜呜呜
"呢？",呢
"呯！",#Symbol
"味道？",味道
"呸！",呸
"咋了？",咋了
"和朋友的社团【五签名】",#Symbol
"和谐（ry）",和谐
"咔、",咔
"咦？",咦
"咦～",咦
"咧嘴笑:-D",咧嘴笑
"咩～",咩
"咪咪！",咪咪
"咬过我，疼",#Symbol
"咳，是老子",#Symbol
"咸柠7",咸柠7
"咸，郎咸平",#Symbol
"品味(动词)",品味
"哇 ",哇
"哇海之家的炒面会特别好吃么？",#Symbol
"哇，哇",哇哇
"哈利·波特",哈利波特
"哈利波特？",哈利波特
"哈哈 没问题",#Symbol
"哈哈哈？",哈哈哈
"哈！",哈
"哈！【音效",#Symbol
"哈！？",哈
"哈？",哈
"哈？！",哈
"响了吗？",响了吗
"哎呦，不错呦",#Symbol
"哎？",哎
"哥哥！",哥哥
"哦( •̅_•̅ )",#Symbol
"哦？",哦
"哪个职业？",哪个职业
"哪个？",哪个
"哪个？？",哪个
"哪儿?",哪儿
"哪有.....",哪有
"哪里、",哪里
"哪里跑！",哪里跑
"哪里逃！",哪里逃
"哪里？",哪里
"哪？",哪
"哲♂学",哲学
"哲学♂",哲学
"哲学，",哲学
"哼~",哼
"哼～",哼
"唉~",唉
"唉，",唉
"唉？",唉
"唉～",唉
"唐七？？？",唐七
"唱起歌 跳起舞",#Symbol
"啊?",啊
"啊~",啊
"啊——！！！",啊
"啊呸，是生机",#Symbol
"啊哈 才",啊哈才
"啊打！",啊打
"啊！",啊
"啊！！",啊
"啊！！！",啊
"啊（张嘴）",#Symbol
"啊？",啊
"啊？♂",啊
"啥 黑色的",#Symbol
"啥事？",啥事
"啥玩意？",啥玩意
"啥？",啥
"啥？？",啥
"啪♀啪♀啪",啪啪啪
"啪♂啪♀啪",啪啪啪
"啪♂啪♂啪",啪啪啪
"善  美",善美
"善良2",善良
"善良n ",善良
"善良n g",善良
"喜欢、",喜欢
"喜欢意大利！",喜欢意大利
"喵喵喵?",喵喵喵
"喵喵喵？",喵喵喵
"喵喵喵？？？",喵喵喵
"喵？",喵
"喵～",喵
"嗯~",嗯
"嗯…",嗯
"嗯……",嗯
"嗯。",嗯
"嗯。。。",嗯
"嗯，很锋利。",#Symbol
"嗯？",嗯
"嗯？？？",嗯
"嗷呜~",嗷呜
"嘛？",嘛
"嘞？",嘞
"嘣！",嘣
"嘴巴’",嘴巴
"嘶～",嘶
"嘿嘿嘿？",嘿嘿嘿
"噢！",噢
"器官、",器官
"器械'",器械
"噫...",噫
"四大发明？",四大发明
"回收·",回收
"回答1988",#Symbol
"囧叔！",囧叔
"国家·",国家
"国球手'",#Symbol
"圈9",#Symbol
"土狼（Fate男主）",土狼
"土豆 ",土豆
"在么？",在么
"在哪、",在哪
"地震？",地震
"坏了'",坏了
"坏了？",坏了
"坏人！",坏人
"坐着3",坐着
"坚决？",坚决
"坚强？",坚强
"坚硬、",坚硬
"坟墓里面可能会钻出僵尸。",#Symbol
"城市'",城市
"城市‘",城市
"基于血缘的抱团，利益牵扯很多很烦",#Symbol
"堕落！",堕落
"墙？",墙
"士兵76",#Symbol
"处事风格，第三条",#Symbol
"夏什么？",#Symbol
"夏绿蒂'",夏绿蒂
"夕阳，",夕阳
"外卖小哥哥哥，",#Symbol
"外面，我在跳舞",#Symbol
"多个客户端？",多个客户端
"多嘴'",多嘴
"多少‘",多少
"多尔衮。。。",多尔衮
"多，",多
"大……",大
"大∫",大
"大○萌妹",#Symbol
"大卡车？",大卡车
"大哥！！",大哥
"大学 ",大学
"大学生。",大学生
"大巴",大巴
"大海！",大海
"大理石，",大理石
"大理石？",大理石
"大红花！",大红花
"大菠萝?",大菠萝
"大衣】",大衣
"大象????",大象
"大跃进'",大跃进
"大锤80",#Symbol
"大餅(硬幣)",#Symbol
"天呐，公司终于没有小畜生了！",#Symbol
"天堂 ",天堂
"天文学家？",天文学家
"天文数字货币资金链接不上，",#Symbol
"天气’",天气
"天气】",天气
"天气凉了，感觉被子薄弱",#Symbol
"太多了……",太多了
"太师椅！",太师椅
"太阳☀",太阳
"失败？",失败
"头晕 ",头晕
"奥运'",奥运
"女孩子！",女孩子
"女的爱女的，男的爱男的",#Symbol
"女神异闻录4",女神异闻录4
"女神异闻录5",女神异闻录5
"奶子！",奶子
"她/他",她他
"好 知道了",#Symbol
"好——女子",#Symbol
"好。",好
"好像周婕纶…",#Symbol
"好吃!!",好吃
"好吃！",好吃
"好吃！！",好吃
"好吃（？）",好吃
"好吃？？？",好吃
"好啊!",好啊
"好感+1",好感
"好机会！",好机会
"好瘦……",好瘦
"好的。",好的
"好看！",好看
"好累。。",好累
"好贵！",好贵
"好远'",好远
"好险！",好险
"好！",好
"如果 爱",#Symbol
"如果你一层一层一层一层的拨开......",#Symbol
"妈！",妈
"妹妹'",妹妹
"妹子、",妹子
"妹子？",妹子
"妹抖龙！",妹抖龙
"婚礼'",婚礼
"嫉妒、",嫉妒
"嫌疑人！",嫌疑人
"嫡庶之分？",嫡庶之分
"字典''",字典
"孤舟蓑笠翁 独钓寒江雪",#Symbol
"学习 ",学习
"学习！",学习
"学习，",学习
"学校,",学校
"学校有，似乎还很贵",#Symbol
"学生、",学生
"学科 ",学科
"学而时习之。",学而时习之
"学长！",学长
"守望先锋、",守望先锋
"安～",安
"完了。",完了
"完了吗？？",完了吗
"完成了？",完成了
"完美、",完美
"定个小目标 亏个98逸",#Symbol
"宝石 ",宝石
"宝贝（昵称）",宝贝
"宝贝，",宝贝
"实验”",实验
"宠物1",宠物
"审阅'",审阅
"害怕 ",害怕
"害怕，恐惧",害怕恐惧
"家庭⼂",家庭
"家庭、",家庭
"家里待着比较安全 温暖",#Symbol
"家长????",家长
"家（小说）",家
"容易 ",容易
"容易出事 ",容易出事
"容纳1",容纳
"宿舍？",宿舍
"寂寞的安静？",#Symbol
"富翁，",富翁
"寒冷的话说，，",#Symbol
"对不对？",对不对
"对的吧！",对的吧
"对，就是我",#Symbol
"寿司''",寿司
"射精...",射精
"射精。。。",射精
"射雕英雄传…",射雕英雄传
"将军！",将军
"尊严/面子",#Symbol
"小兰（柯南）",小兰
"小号（账号）",小号
"小团团，，",小团团
"小圆耳朵！",小圆耳朵
"小孩子'",小孩子
"小孩子1",小孩子
"小康社会？",小康社会
"小方和师弟？",小方和师弟
"小时代？",小时代
"小的·",小的
"小红帽?",小红帽
"小红花帽子、",小红花帽子
"小说.",小说
"小锤40",#Symbol
"小锤80",#Symbol
"小黄片。",小黄片
"少年漫（",少年漫
"少用词。",#Symbol
"就吃溜溜梅？",就吃溜溜梅
"就是需求……",#Symbol
"就算失望，不能绝望",#Symbol
"就职后。。。",#Symbol
"就，很绝望",#Symbol
"尴尬、",尴尬
"屁～不屑的说",#Symbol
"山水，",山水
"山顶‘",山顶
"岁月。",岁月
"岳飞-“不白之冤”",#Symbol
"崩坏3",崩坏3
"川普？",川普
"工业4.0",#Symbol
"工具 ",工具
"巴扎嘿！！！",巴扎嘿
"市场，，",市场
"帅！",帅
"希望、",希望
"帝国.",帝国
"常青藤 Ivy League",#Symbol
"干。。。",干
"干哈呀？",干哈呀
"干啥呢？",干啥呢
"干啥？",干啥
"干嘛去？",干嘛去
"干嘛？",干嘛
"干巴巴2",干巴巴
"干货？",干货
"年满18岁",#Symbol
"年糕？",年糕
"年龄17岁",#Symbol
"幻想三国志2",幻想三国志2
"广东人吃福建人(x)",#Symbol
"广告？？",广告
"广场舞 大妈",广场舞大妈
"广岛，长崎",广岛长崎
"广西大学生????????????????????",#Symbol
"床上吧……",床上吧
"应该支持！",应该支持
"庭下如积水空明，水中藻荇交横",#Symbol
"建国70周年",#Symbol
"建筑'",建筑
"开天辟地 ",开天辟地
"开心????",开心
"开心！！！",开心
"开水'",开水
"开车？",开车
"引导员/迎宾",#Symbol
"张嘴 啊",#Symbol
"张嘴…",张嘴
"张家口22奥运",#Symbol
"弯腰90度",#Symbol
"当时…就好了",#Symbol
"录取？",录取
"影响力、",影响力
"影视'",影视
"待机而越多，得到的越多",#Symbol
"很响？",很响
"很大的话说，，",#Symbol
"很好的休息放松姿势，蹲着很舒服",#Symbol
"很惭愧……",很惭愧
"很难用。",很难用
"很麻烦 ",很麻烦
"得到…",得到
"得，语气词",#Symbol
"微臣…",微臣
"心地善良'",心地善良
"心理学？",心理学
"心配（日语）",#Symbol
"必要'",必要
"必须、",必须
"忧郁……",忧郁
"忧郁，",忧郁
"快乐 ",快乐
"快乐！！",快乐
"快车、",快车
"快！",快
"态度 ",态度
"怎么变得？",怎么变得
"怎么？",怎么
"怕，",怕
"思想·",思想
"思想、言语等",#Symbol
"急忙''",急忙
"性【】交",性交
"性别外在特征，比如身高胡子",#Symbol
"性用品？",性用品
"性致，没错字",性致
"总动员？",总动员
"总裁。。",总裁
"恋爱？",恋爱
"恩。。",恩
"恩？",恩
"悲惨 ",悲惨
"情侣????",情侣
"情趣？",情趣
"惬意'",惬意
"想一下，今天干什么",#Symbol
"想法⼂",想法
"想要可以指示别人但是没有那个能力给别人正确的引导 ，果然还是希望自己更有能力",#Symbol
"想要拥有！！",想要拥有
"想要！",想要
"愉♂悦",愉悦
"意图、",意图
"愚蠢。",愚蠢
"感冒了吧？",感冒了吧
"感情深厚（褒义）",感情深厚
"感慨2",感慨
"感觉有点化学 有点不太好 挺刺激",#Symbol
"戈登·拉姆齐",戈登拉姆齐
"戈？",戈
"成功‘",成功
"成熟 ",成熟
"成长？",成长
"我 没有",我没有
"我。",我
"我不在意了，但是他仍然把我当做宿敌",#Symbol
"我写的那些新闻稿肯定用了很多这个词…",#Symbol
"我去。。。",我去
"我吗？",我吗
"我和别人 ",我和别人
"我啊~",我啊
"我国的某一些矿资源分布也不平衡。",#Symbol
"我坐过’",我坐过
"我大意了！",我大意了
"我对我的朋友们的爱称，我是甜甜，她们是甜甜圈",#Symbol
"我成啥了………………",我成啥了
"我打~~",我打
"我打！",我打
"我最喜欢…",我最喜欢
"我来（超威蓝猫）",我来
"我的哥……？",我的哥
"我的回合！",我的回合
"我的女朋友很少化妆。",#Symbol
"我的姓。。",我的姓
"我的弓呢？",我的弓呢
"我的手机！！",我的手机
"我的爱！",我的爱
"我的高数及格线过的，怎么地",#Symbol
"我自己？",我自己
"我舅舅…",我舅舅
"我要当，上海贼王",#Symbol
"我要闪闪！",我要闪闪
"我身高186算很高了",#Symbol
"我躺下了 我陷入床里了，我陷入宇宙太空中了",#Symbol
"我饿了...",我饿了
"我骂你了？",#Symbol
"我！",我
"我？",我
"战争''",战争
"战地4",战地4
"战狐（歌曲）",#Symbol
"所9闻",#Symbol
"所以、",所以
"所以为什么公厕的自动贩纸机没纸？",#Symbol
"手‘",手
"手势（请进）",手势
"手提包、",手提包
"手术、",手术
"手机(no",手机
"手机.",手机
"手电呢？",手电呢
"手里剑？",手里剑
"打到橡胶上，反弹",#Symbol
"打开。。。",打开
"打扰了～",打扰了
"打肿脸？",打肿脸
"打针’",打针
"打错了是惊不惊喜，意不意外！",#Symbol
"打！",打
"托尼'",托尼
"扣工资 ",扣工资
"执念。",执念
"扶她⊙∀⊙",扶她
"扶老奶奶'",扶老奶奶
"承诺什么？",承诺什么
"技术，",技术
"技校？？？",技校
"技能、",技能
"把（四声）",把
"抓住机会。",抓住机会
"抽卡！",抽卡
"担起责任。",担起责任
"拉·封丹",#Symbol
"拉，拉格朗日…？",#Symbol
"拍摄手法  争斗 最喜爱电视角色  颁奖  基情 百合 90年代初  追剧",#Symbol
"拒絕22K",#Symbol
"拒绝''",拒绝
"招人疼！",招人疼
"拜拜，",拜拜
"拯救世界！",拯救世界
"拳击????",拳击
"拳头不是解决问题的第一办法。",#Symbol
"指示牌？",指示牌
"按摩''",按摩
"挺好吃（?）",挺好吃
"挺好的:",挺好的
"捡东西?",捡东西
"排毒？",排毒
"接力'",接力
"提供？",提供
"搜索'",搜索
"搞事搞事！",#Symbol
"摊手.jpg",#Symbol
"摔♂跤",摔跤
"摔跤吧，爸爸",摔跤吧爸爸
"摩根•弗里曼",摩根弗里曼
"撒回去 h",#Symbol
"撕裂（不得不兼顾父母爷爷外公四家，过年赶场）",撕裂
"撕逼'",撕逼
"撸管有害健康（我是被戒色吧洗脑了吗？？？？都怪前两天看到的那个把戒氪金弄出戒色架势的po主）",#Symbol
"攀岩？",攀岩
"放假了……",放假了
"放屁（骂人）",放屁
"放狗…",放狗
"救命！",救命
"教育学311",#Symbol
"敬重'",敬重
"数字1000",#Symbol
"数字6",#Symbol
"数学 老师",数学老师
"数学·",数学
"数学作业？",数学作业
"数学老师，",数学老师
"整6",#Symbol
"文件夹（手边",文件夹
"文明5",文明5
"文明6",文明6
"斑点 ",斑点
"斯蒂芬·金",斯蒂芬金
"新闻30分",新闻30分
"新闻‘",新闻
"新闻报道。",新闻报道
"方略、",方略
"方程式，",方程式
"旗帜、",旗帜
"无聊'",无聊
"无限滑板！",无限滑板
"日本(谐音)",日本
"日本713",#Symbol
"日本……",日本
"日本、",日本
"日本公安。。",日本公安
"时也，命也",时也命也
"时光（？）",时光
"时机恰好，天作之合很棒",#Symbol
"明了（le）",明了
"明亮的画面 明快的音乐 笑脸",#Symbol
"星星'",星星
"星石！",星石
"星际2",星际2
"春 夏 冬",春夏冬
"春秋战国'",春秋战国
"春节''",春节
"是人？",是人
"是什么？",是什么
"是他 就是他",#Symbol
"是吗？",是吗
"是啥？",是啥
"是我吗？",是我吗
"是我！",是我
"是的吗？",是的吗
"是誰？",是谁
"是谁？",是谁
"是！",是
"是！！！",是
"显微镜'",显微镜
"景物 ",景物
"智取~",智取
"智能ne g",智能
"最低限度的保障（福利制度）",#Symbol
"最终幻想14",最终幻想14
"月9",#Symbol
"月岛 莹",月岛莹
"有一个……",有一个
"有一天。。",有一天
"有事烧纸。",有事烧纸
"有事？",有事
"有些人生来就特别有钱，很多人心里都不平衡。",#Symbol
"有人？",有人
"有什么好笑？",有什么好笑
"有什么？",有什么
"有关系。",有关系
"有关联。",有关联
"有关，",有关
"有学问'",有学问
"有希望？",有希望
"有担当。",有担当
"有时候莫名其妙。",#Symbol
"有机食品，",有机食品
"有格调。",有格调
"有没有那个…",有没有那个
"有病？",有病
"有胆子和南方比啊，室内室外一个温度，甚至室内更低",#Symbol
"有钱1",有钱
"有钱……",有钱
"有钱？",有钱
"有间公司叫tvb，好多我爱豆都是那边的",#Symbol
"服装店0",服装店
"期待以后的男朋友……或者女朋友",#Symbol
"木",#Symbol
"未婚夫/妻",#Symbol
"未满18",#Symbol
"本 威士肖",本威士肖
"本·拉登",本拉登
"本事。",本事
"本子……",本子
"朵朵？",朵朵
"机关 ",机关
"机场(飞机)",机场
"李宇春？？",李宇春
"李白！",李白
"李白？",李白
"李茂？",李茂
"来来往往的人们总是背着沉重的行李。",#Symbol
"杰克'",杰克
"杰克·伦敦",杰克伦敦
"林不足（人名）",#Symbol
"果断、",果断
"果果（人名）",#Symbol
"枣树、",枣树
"架子，",架子
"某人对某一事/人的看法",#Symbol
"某网站？",某网站
"染料，",染料
"柔和·",柔和
"柔软‘’",柔软
"柜子2",柜子
"柴米油盐'",柴米油盐
"根号3",#Symbol
"桂花·",桂花
"桌子，",桌子
"桥本(姓)",桥本
"梁朝伟（？）",梁朝伟
"梅尔·吉普森",梅尔吉普森
"梦100",梦100
"梦想改造家！",梦想改造家
"棒球帽0",棒球帽
"棕色？",棕色
"森林'",森林
"植物生殖器'",植物生殖器
"楊桃？",杨桃
"楼房；’",楼房
"榨乳！",榨乳
"模拟人生3",模拟人生3
"橄榄?",橄榄
"欢快的时候回来，",#Symbol
"欧洲q o",欧洲
"欺骗‘",欺骗
"正在使用发音 Das Meer",#Symbol
"正在使用发音 интереси",#Symbol
"步行 ",步行
"死亡笔记本来了吗？？",#Symbol
"死人。",死人
"歼-20",#Symbol
"歼15",#Symbol
"歼20",#Symbol
"残疾人 ",残疾人
"母0",#Symbol
"毒品、",毒品
"比“冷”的寒冷的程度要低一些",#Symbol
"比利 林恩",比利林恩
"比利王♂",比利王
"比尔 赛弗",比尔赛弗
"比尔·盖茨",比尔盖茨
"比赛?",比赛
"比较真的话说，",#Symbol
"毛。。。",毛
"毛不易？",毛不易
"毛主席！",毛主席
"毛呢？毛呢？",#Symbol
"毛泽东？",毛泽东
"毛？",毛
"民政局？",民政局
"气死偶咧！",气死偶咧
"气泡/蓝色",#Symbol
"氪金……",氪金
"氪金！",氪金
"水上'",水上
"水手‘",水手
"水果？",水果
"水溶c100",水溶c100
"水生植物，",水生植物
"水皆缥碧，千丈见底",#Symbol
"水蜜桃1",水蜜桃
"水？",水
"永远18",#Symbol
"求生之路2",求生之路2
"求生之路3",求生之路3
"江苏卫视？",江苏卫视
"汪汪????",汪汪
"汽车.",汽车
"沃特？",沃特
"沙滩'",沙滩
"没了……",没了
"没了…。",没了
"没了？",没了
"没救了吗？？",没救了吗
